Cross_Validation	Asegurado_id	Ind_Ramo_Canal_Vigente	Meses_Antiguedad_Ramo_Canal	Canal_Agrup_Id	Ind_Exequial	Ind_Accidentes_Personales	Ind_Automoviles	Ind_Hogar	Ind_SuRenta	Ind_MasVida	Ind_Soat	Ind_Renta_Educativa	Ind_Otros_Personales	Ind_Salud	Ind_Otros_Empresariales	Ind_Arrendamiento	Ind_Renta_Pensional	Ind_Desempleo	Ind_Vida	Produccion_Emitida_Grupo_Cliente	Porc_RT_Grupo_Cliente	Frecuencia_Anual_Siniestros_Grupo_Cliente	Monto_Pagado_Siniestros_Grupo_Cliente	Recencia_Meses_Ultimo_Siniestros_Grupo_Cliente	Cont_Compania_Cliente	Regional_Contacto_id	Sexo_id	Edad	Numero_Hijos	Ind_Dependientes_Menores18	Ind_Dependientes_Mayores18	Nivel_Ingreso_id	Nivel_Estudios_id	Estado_Civil_id	Ind_Independiente	Cont_Quejas	Cont_Peticion	Cont_Inquietud	Ind_Tipo_Negocio_Colectivo	Ind_Forma_Pago_Mensual	Ind_Forma_Pago_Anual	Ind_Tipo_Pago_Caja_Sura	Ind_Tipo_Pago_Financiacion_Sura
0	82	1	44	24,390,651	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1,234,725.32	-13.4	0	0	0	3	2	2	38	1	1	1	8	3	2	0	0	0	1	1	1	0	1	0
0	83	1	15	24,390,648	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	2,077,115.96	15.14	0.22	896,713.62	1.76	2	2	2	32	0	0	0	7	3	1	0	0	3	0	1	1	0	1	0
0	84	1	16	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1,097,097.25	7.49	0	0	0	2	3	2	13	0	0	0	8	-1	-1	0	0	0	0	1	1	0	1	0
0	85	0	0	24,390,648	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1,324,844.89	-17.21	0	0	0	1	3	1	38	-1	0	0	8	-1	-1	0	0	0	0	1	1	0	1	0
0	86	1	52	24,390,652	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	897,352.00	32.1	0	0	0	2	3	2	49	-1	0	0	8	-1	-1	0	0	0	0	0	1	0	1	0
0	87	1	9	24,390,648	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	1,236,770.00	15.14	0	0	0	1	2	2	36	0	0	0	7	3	5	0	1	4	0	1	1	0	1	0
0	88	1	33	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	935,961.78	-1.51	0.19	920,191.14	1.48	2	3	2	28	-1	0	0	8	-1	-1	0	0	1	0	1	1	0	1	0
0	89	0	0	24,390,649	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	637,651.27	25.01	1	400,000.00	12	1	99	99	-1	-1	-1	-1	99	-1	-1	0	0	0	0	1	1	0	1	0
0	90	0	1	24,390,651	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	240,639.83	-12.44	0	0	0	1	5	1	53	0	0	0	8	-1	-1	0	0	0	0	1	1	0	1	0
0	91	1	10	24,390,650	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	207,407.00	14.61	0	0	0	1	3	1	25	-1	0	1	7	-1	1	0	0	0	0	1	1	0	1	0
